,start_date,start_station_code,end_date,end_station_code,duration_sec,is_member
1655902,2015-07-21 16:07,6203,2015-07-21 16:23,6227,946,0
216281,2015-05-04 17:52,6194,2015-05-04 18:09,6206,973,1
1495977,2015-07-13 11:58,6280,2015-07-13 12:17,6216,1119,0
2230880,2015-08-20 12:33,6749,2015-08-20 12:44,6060,622,1
1647338,2015-07-20 20:44,6396,2015-07-20 21:08,6374,1425,0
1941924,2015-08-04 21:20,6206,2015-08-04 22:11,6739,3044,0
1999523,2015-08-07 17:40,6213,2015-08-07 17:43,6220,156,1
386964,2015-05-14 18:21,6070,2015-05-14 19:18,6735,3421,1
1708205,2015-07-24 08:34,6113,2015-07-24 08:48,6050,820,1
2194818,2015-08-18 17:06,6062,2015-08-18 17:30,6050,1428,1
1947783,2015-08-05 09:39,6184,2015-08-05 09:50,6199,699,1
2677191,2015-09-11 18:49,6143,2015-09-11 18:54,6175,287,1
242953,2015-05-06 09:16,6177,2015-05-06 09:22,6213,362,1
2828860,2015-09-21 09:40,6131,2015-09-21 10:03,6057,1407,1
2820276,2015-09-20 17:11,6195,2015-09-20 17:18,6170,407,1
1682925,2015-07-22 21:39,6106,2015-07-22 21:52,6001,793,1
542227,2015-05-23 13:56,6156,2015-05-23 14:01,6146,290,1
2537799,2015-09-04 15:27,6748,2015-09-04 15:44,6724,1013,0
2598042,2015-09-07 23:22,6202,2015-09-07 23:31,6211,582,0
1178847,2015-06-27 00:51,6179,2015-06-27 01:04,6117,768,1
2207655,2015-08-19 09:55,6113,2015-08-19 09:59,6018,270,1
483716,2015-05-20 08:09,6170,2015-05-20 08:22,6389,745,1
2496270,2015-09-02 17:03,6253,2015-09-02 17:14,6258,650,1
1603634,2015-07-18 13:19,6229,2015-07-18 13:40,6081,1220,0
1584004,2015-07-17 09:19,6731,2015-07-17 09:45,6140,1558,1
744752,2015-06-04 00:55,6175,2015-06-04 01:03,6190,456,1
990004,2015-06-17 18:53,6357,2015-06-17 19:03,6261,582,1
756135,2015-06-04 16:13,6925,2015-06-04 16:16,6345,226,1
1316395,2015-07-04 19:15,6263,2015-07-04 19:24,6369,529,1
100293,2015-04-27 16:44,6070,2015-04-27 16:59,6314,942,1
947041,2015-06-15 13:24,6264,2015-06-15 13:30,6906,380,1
2306612,2015-08-24 10:30,6136,2015-08-24 10:41,6193,684,1
362046,2015-05-13 16:09,6207,2015-05-13 16:50,6333,2427,1
1065820,2015-06-21 12:47,6214,2015-06-21 12:53,6146,383,1
2994865,2015-10-01 17:20,6070,2015-10-01 17:33,6184,758,1
2090719,2015-08-13 05:51,6161,2015-08-13 06:01,6019,575,1
2797146,2015-09-19 08:44,6091,2015-09-19 09:10,6207,1568,1
140533,2015-04-30 13:05,6203,2015-04-30 13:14,6099,519,1
286895,2015-05-08 11:42,6211,2015-05-08 11:49,6012,402,1
2399477,2015-08-28 17:13,6375,2015-08-28 17:26,6742,800,1
575281,2015-05-25 11:22,6194,2015-05-25 11:53,6369,1858,1
1173463,2015-06-26 19:39,6926,2015-06-26 20:07,6747,1675,0
1605895,2015-07-18 15:22,6184,2015-07-18 15:23,6184,97,1
1977708,2015-08-06 17:32,6921,2015-08-06 17:42,6407,577,1
688931,2015-05-31 15:12,6923,2015-05-31 15:14,6189,158,1
1131238,2015-06-24 21:52,6048,2015-06-24 22:21,6136,1773,1
1520822,2015-07-14 15:20,6746,2015-07-14 15:25,6503,321,1
3277801,2015-10-27 15:12,6231,2015-10-27 15:16,6199,231,1
2734673,2015-09-16 09:51,6418,2015-09-16 10:06,6369,926,0
2523527,2015-09-03 20:03,6339,2015-09-03 20:18,6436,875,1
3087635,2015-10-08 15:46,6173,2015-10-08 16:00,6750,816,1
1649860,2015-07-20 23:56,6248,2015-07-21 00:08,6139,694,0
1104084,2015-06-23 16:24,6215,2015-06-23 16:41,6151,1011,1
1007335,2015-06-18 16:04,6395,2015-06-18 16:09,6383,287,1
1426055,2015-07-09 21:20,6170,2015-07-09 21:25,6906,315,1
2464982,2015-09-01 08:33,6433,2015-09-01 08:48,6063,875,1
3267198,2015-10-26 15:51,6005,2015-10-26 16:02,6090,677,1
936079,2015-06-14 18:14,6201,2015-06-14 18:23,6219,522,1
1364211,2015-07-07 07:32,6268,2015-07-07 07:38,6906,364,0
1933711,2015-08-04 16:39,6187,2015-08-04 16:40,6184,103,1
